hash,confirmations,strippedSize,size,weight,height,version,merkleRoot,txnCount,reward,txnFeeTotal,totalInputValue,totalOutputValue,time,nonce,bits,difficulty,previousBlockHash,nextBlockHash
00000000685ef1db98259f4ed1ae1605053f67379b4b4acc1d94e057f8426c4a,324910,216,216,864,31500,1,b40e77fc253a0f5bd28e7115c5f9a8b0b89d464f873f853184d0fd99df7af7ca,1,50,0,0,50,2009-12-25 07:14:47 -0500 EST,540822524,1d00ffff,1,00000000cc3b42e329628cd16faccae2464eebc801d57aa9b9f682619c87b4a1,00000000c6dba86cf0c50a87bbad2b158306150cd3c66be2c9734ff9b82b9419
00000000c6dba86cf0c50a87bbad2b158306150cd3c66be2c9734ff9b82b9419,324909,216,216,864,31501,1,0242f3ffcdf4da4622d78f084b9f0e98d5540b6240a610115de8ca9ee0ce4328,1,50,0,0,50,2009-12-25 07:20:16 -0500 EST,3489068807,1d00ffff,1,00000000685ef1db98259f4ed1ae1605053f67379b4b4acc1d94e057f8426c4a,00000000b7557a7581867ebc90a92a56e1ae64a0d6f526f7870321e27c5639f2
00000000b7557a7581867ebc90a92a56e1ae64a0d6f526f7870321e27c5639f2,324908,216,216,864,31502,1,664a607cd7042bb9a524b930cf2ead7e30b7ac6d494effb853427e8111b38859,1,50,0,0,50,2009-12-25 07:33:29 -0500 EST,248269057,1d00ffff,1,00000000c6dba86cf0c50a87bbad2b158306150cd3c66be2c9734ff9b82b9419,0000000028c660a8be97725de2336e0c4bf6964915ade76b81e68fbb46351720
0000000028c660a8be97725de2336e0c4bf6964915ade76b81e68fbb46351720,324907,216,216,864,31503,1,41442be3c7013ab17e7680bec19e9d1fd546d574a55dda3322b7344dbbd9953e,1,50,0,0,50,2009-12-25 07:38:41 -0500 EST,78804942,1d00ffff,1,00000000b7557a7581867ebc90a92a56e1ae64a0d6f526f7870321e27c5639f2,00000000ee85ab2a372989cda401e5c565eaa4a555373f5dcfe93a61ab181670
00000000ee85ab2a372989cda401e5c565eaa4a555373f5dcfe93a61ab181670,324906,216,216,864,31504,1,3ff89c62c69dfc6de5d5d1bd750ea46b2fcdd9cfcc0e74d021d81823da853f97,1,50,0,0,50,2009-12-25 07:56:17 -0500 EST,366608723,1d00ffff,1,0000000028c660a8be97725de2336e0c4bf6964915ade76b81e68fbb46351720,00000000dc16c87cb67cd1a6ed8a0b5d58b6078d747a48285433d96e0c76e2ea
00000000dc16c87cb67cd1a6ed8a0b5d58b6078d747a48285433d96e0c76e2ea,324905,216,216,864,31505,1,e06a43cce026b6162bf06c226dc49c09dbc562a3551d08f23a2861940f032961,1,50,0,0,50,2009-12-25 08:02:58 -0500 EST,87498666,1d00ffff,1,00000000ee85ab2a372989cda401e5c565eaa4a555373f5dcfe93a61ab181670,00000000d45eded46fdf062ab92f426397545d26c148f9bf918ed70e23868c63
00000000d45eded46fdf062ab92f426397545d26c148f9bf918ed70e23868c63,324904,215,215,860,31506,1,d0dc7e3eebba8acb04fc502f3f46fe71880dd7027642b1720f2253ca29d4da25,1,50,0,0,50,2009-12-25 08:14:15 -0500 EST,68003878,1d00ffff,1,00000000dc16c87cb67cd1a6ed8a0b5d58b6078d747a48285433d96e0c76e2ea,00000000c3baa55cae4ae5191299100866d5dfcd175eed363cc7384c92f6b2f0
00000000c3baa55cae4ae5191299100866d5dfcd175eed363cc7384c92f6b2f0,324903,216,216,864,31507,1,9210f9e2457f1ff61e24eba91778f147f3fe5381b0302c277c2529bd8d382b39,1,50,0,0,50,2009-12-25 08:19:22 -0500 EST,1682244377,1d00ffff,1,00000000d45eded46fdf062ab92f426397545d26c148f9bf918ed70e23868c63,00000000433e343fc2c2abf367edf244461c65fd9f43bd142f22fa1aac78bcdd
00000000433e343fc2c2abf367edf244461c65fd9f43bd142f22fa1aac78bcdd,324902,216,216,864,31508,1,914f9841cdfa61c2390020953453220bd26f559d9594012d930e9886bcc5a3a2,1,50,0,0,50,2009-12-25 08:26:16 -0500 EST,123790133,1d00ffff,1,00000000c3baa55cae4ae5191299100866d5dfcd175eed363cc7384c92f6b2f0,00000000ebe35ccda334ec14594f82426e138a95ec2cc5bbdea4d742aaef1001
00000000ebe35ccda334ec14594f82426e138a95ec2cc5bbdea4d742aaef1001,324901,216,216,864,31509,1,e8cd107957a5db361962c86f2d10f0bba86a64161e9a595c9d3e0933c6fd1a89,1,50,0,0,50,2009-12-25 08:40:10 -0500 EST,258246593,1d00ffff,1,00000000433e343fc2c2abf367edf244461c65fd9f43bd142f22fa1aac78bcdd,0000000069a05b989c4f2817e94573d32373e6cbcc13f7e5bb33f9d14f2e88d5
0000000069a05b989c4f2817e94573d32373e6cbcc13f7e5bb33f9d14f2e88d5,324900,216,216,864,31510,1,53fcdec67923a69a43d904c6aa9fb1fc31da88077fb206fa873774d95196c72b,1,50,0,0,50,2009-12-25 08:40:58 -0500 EST,14339909,1d00ffff,1,00000000ebe35ccda334ec14594f82426e138a95ec2cc5bbdea4d742aaef1001,000000008ed77edc1a85f04b467549c0889f7376272cb0a33045344c1e59d5c6
000000008ed77edc1a85f04b467549c0889f7376272cb0a33045344c1e59d5c6,324899,215,215,860,31511,1,9592567bb462e952e2c2cad0c602c541a65429900fef8ebbe66273d2aba2d6ad,1,50,0,0,50,2009-12-25 08:44:57 -0500 EST,65973224,1d00ffff,1,0000000069a05b989c4f2817e94573d32373e6cbcc13f7e5bb33f9d14f2e88d5,00000000db18064c6434fc5c0b00c0ff78b62eba141e654c0efa71a982a1d43a
00000000db18064c6434fc5c0b00c0ff78b62eba141e654c0efa71a982a1d43a,324898,216,216,864,31512,1,b19c0998697d145b0cf6b69bd050c5549632351e6031a6d072cda0bd6a507e7c,1,50,0,0,50,2009-12-25 08:46:47 -0500 EST,35881804,1d00ffff,1,000000008ed77edc1a85f04b467549c0889f7376272cb0a33045344c1e59d5c6,0000000002b24ff1950e5d8016211ecf87b624720332c5c2093c1141c13a970a
0000000002b24ff1950e5d8016211ecf87b624720332c5c2093c1141c13a970a,324897,216,216,864,31513,1,32189e28c53f8343a36db7b7e73ad7834099d1f21d4555e7d03dd941be35f99f,1,50,0,0,50,2009-12-25 08:57:41 -0500 EST,256195677,1d00ffff,1,00000000db18064c6434fc5c0b00c0ff78b62eba141e654c0efa71a982a1d43a,00000000cf40db66c027fec74b973778b566197d133f0682301781055e19b2be
